website,name_of_meal,nutrition_values,preptime,attributes,allergens,ingredients,description
greenchef,Beef Tenderloin & Brown Butter Carrots,Calories 840kcal Fat 65g Saturated Fat 20g Carbohydrate 31g Sugar 15g Dietary Fiber 9g Protein 36g Cholesterol 135mg Sodium 1040mg,35 Min.,Gluten-free; Low Added Sugar; Carb Smart,"Allergens: Tree Nuts, Fish, Milk",Rainbow Carrots; Sage; Broccoli; Garlic; Beef Tenderloin; Worcestershire Sauce; Sliced Almonds,"This delicious dish proves that luxe doesn’t have to mean complicated—quite the opposite. With just seven ingredients, you’ll create a restaurant-worthy meal. Beef tenderloin is pan-seared to a juicy finish, then drizzled with Worcestershire sauce. Garlicky sautéed broccoli and brown butter roasted carrots with sage and almonds make for sides just as important as the main event."
greenchef,Herbed Sockeye Salmon with Fig Pan Sauce,Calories 910kcal Fat 59g Saturated Fat 18g Carbohydrate 59g Sugar 24g Dietary Fiber 9g Protein 39g Cholesterol 155mg Sodium 910mg,30 Min.,Gluten-free; Low Added Sugar,"Allergens: Tree Nuts, Fish, Milk",Yellow Potatoes; Kale; Cabbage; Apple; Lemon-Chive Vinaigrette; Hazelnuts; Wild-Caught Sockeye Salmon Fillets; Dried Thyme; Sour Cream; Garlic Powder; Fig Jam; Umami Stock Concentrate,"Figs can reach spectacularly delicious results in both sweet and savory dishes, and this one is no exception. Here, we combine fig jam, umami stock, and butter in a pan to make a craveable pan sauce in just minutes. Drizzle it over thyme-seasoned sockeye salmon fillets for complexity and balance. There’s also a side of creamy garlic mashed potatoes, plus an apple-studded kale and cabbage salad tossed with lemon-chive vinaigrette and sprinkled with earthy-sweet hazelnuts for crunch."
greenchef,Caribbean-Style Mango Shrimp,Calories 540kcal Fat 21g Saturated Fat 11g Carbohydrate 59g Sugar 14g Dietary Fiber 4g Protein 25g Cholesterol 215mg Sodium 1280mg,30 Min.,Gluten-free; Dairy Free; Calorie Smart; Low Added Sugar,"Allergens: Tree Nuts, Shellfish",Jasmine Rice; Coconut Milk; Red Bell Pepper; Scallions; Mangos; Chard; Cabbage & Carrots; Pineapple; Shrimp; Caribbean-Style Spices; Cilantro Cider Vinaigrette; Toasted Coconut Flakes,"Bring a taste of the tropics to your table with this vibrant seafood dish. Shrimp are sautéed with red bell pepper, juicy mangos, and zesty Caribbean-style spices for sweet and savory flavors in every bite. The shrimp are served over jasmine rice that has been simmered in coconut milk and finished with coconut shreds and pineapple. A crisp salad of chard, cabbage, and carrots—dressed in a bright cilantro cider vinaigrette—provides a refreshing crunch."
greenchef,Turkey with Cranberry-Bacon Pan Sauce,Calories 1010kcal Fat 62g Saturated Fat 19g Carbohydrate 63g Sugar 27g Dietary Fiber 8g Protein 55g Cholesterol 145mg Sodium 1290mg,35 Min.,Gluten-free; Low Added Sugar,"Allergens: Milk, Tree Nuts",Scallions; Garlic; Kale; Dried Cranberries; Yellow Potatoes; Bacon; Turkey Cutlets; Sour Cream; White Cheddar Cheese; Walnuts; Cranberry Jam; Umami Stock Concentrate,"Looking for a quick “all-in-one” Thanksgiving dinner? Serve this delicious meal that hits all the holiday notes in just a little over half an hour. Center stage are juicy seared turkey cutlets drizzled with a savory-sweet pan sauce that’s swirled with cranberry jam and dried cranberries, and studded with smoky bacon. The turkey is served alongside creamy, cheesy bacon mashed potatoes, and kale sautéed with garlic and walnuts for a vibrant green side dish."
greenchef,Baked Lemon Pepper Tilapia with Feta,Calories 560kcal Fat 22g Saturated Fat 6g Carbohydrate 44g Sugar 3g Dietary Fiber 10g Protein 33g Cholesterol 100mg Sodium 980mg,30 Min.,Calorie Smart; Low Added Sugar; Gut & Brain Health,"Allergens: Wheat, Tree Nuts, Fish, Milk",Bulgur Wheat; Umami Stock Concentrate; Lacinato Kale; Roasted Almonds; Tilapia; Lemon Pepper & Herb Seasoning; Lemon-Basil Caper Sauce; Feta Cheese; Peas,"Tilapia gets the gourmet treatment in this dish. The fish is sprinkled with a lemon pepper seasoning and a lemon-basil caper sauce before being topped with feta and baked to flaky perfection. While the fish cooks, you’ll prepare a hearty bulgur pilaf with kale and peas. To finish, the lemon pepper tilapia and bulgur pilaf get a sprinkling of crunchy roasted almonds."
greenchef,One-Pot Tuscan Chicken Soup,Calories 780kcal Fat 57g Saturated Fat 21g Carbohydrate 23g Sugar 13g Dietary Fiber 5g Protein 43g Cholesterol 190mg Sodium 1060mg,25 Min.,Gluten-free; Keto; Low Added Sugar; Carb Smart,"Allergens: Tree Nuts, Milk",Scallions; Summer Squash; Garlic; Sun-Dried Tomatoes; Parsley; Sliced Almonds; Chopped Chicken Breast; Tuscan Heat Spice; Tomato Cream Sauce; Sour Cream; Parmesan Cheese; Chili Flakes,"This hearty one-pot meal is as easy to cook as it is to clean up. First, you’ll cook chicken (seasoned with our Tuscan heat spice) in your pot, then use the same pot to sauté scallion, summer squash, and garlic. After returning the chicken to the pot, you’ll create a rich broth with the addition of sun-dried tomatoes and tomato cream sauce. Sour cream, Parmesan, and butter are stirred in for creaminess. Fresh parsley, more Parmesan, almonds, and chili flakes top this delicious 25-minute soup."
greenchef,Chicken with Garlic Chard Rice,Calories 630kcal Fat 22g Saturated Fat 6g Carbohydrate 69g Sugar 24g Dietary Fiber 2g Protein 38g Cholesterol 120mg Sodium 750mg,30 Min.,Gluten-free; Calorie Smart; Low Added Sugar; Gut & Brain Health,"Allergens: Tree Nuts, Milk",Jasmine Rice; Chicken Stock Concentrate; Garlic; Chard; Roasted Almonds; Chicken Cutlets; Italian Seasoning; Apricot Jam; Chili Flakes,"The secret ingredient to a great pan sauce for chicken is fond, the culinary term for the browned bits left in the pan after searing your cutlets. You’ll deglaze the fond with chicken stock, and add apricot jam for sweetness, a knob of butter for silkiness, and chili flakes for a kiss of heat. The resulting sauce quickly elevates this simple, comforting chicken dinner to an elegant meal with a delicious balance of flavors. Serve alongside fluffy rice tossed with savory sautéed chard and garlic, and garnish with chopped roasted almonds to add an enticing crunch."
greenchef,Pork Chops with Creamy Chive Sauce,Calories 800kcal Fat 49g Saturated Fat 15g Carbohydrate 53g Sugar 11g Dietary Fiber 9g Protein 39g Cholesterol 115mg Sodium 1260mg,30 Min.,Low Added Sugar,"Allergens: Wheat, Milk",Umami Stock Concentrate; Toasted Pearl Couscous; Broccoli; Shallot; Kale; Chives; Boneless Pork Chops; Italian Seasoning; Rainbow Carrots; Peas; Cream Cheese,"Tonight’s dinner features juicy, herbaceous pork chops. After a deep sear in a skillet, the chops are roasted in the oven alongside bite-size pieces of broccoli. But save that skillet! You’ll add stock, cream cheese, and chives to transform those flavorful crispy seared bits into a deliciously creamy sauce for the pork. On the side is a duo of the roasted broccoli and toasted pearl couscous with a colorful medley of shallot, kale, peas, and carrots."
greenchef,Herbed Pork Filet & Kale Couscous Bowls,Calories 580kcal Fat 23g Saturated Fat 5g Carbohydrate 56g Sugar 16g Dietary Fiber 7g Protein 38g Cholesterol 90mg Sodium 960mg,30 Min.,Dairy Free; Calorie Smart; Low Added Sugar; Gut & Brain Health,"Allergens: Wheat, Tree Nuts",Umami Stock Concentrate; Toasted Pearl Couscous; Garlic; Kale; Shallot; Summer Squash; Dates; Pistachios; Pork Filets; Lemon Pepper & Herb Seasoning; Roasted Red Peppers; Sunflower basil sauce,This flavorful dish features juicy pork filets seasoned with our zesty lemon pepper and herb blend. The filets are drizzled with a sunflower basil sauce and served over a bed of pearl couscous tossed with tender sautéed kale and chewy dates. The dish is well balanced by a side of summer squash with roasted red peppers and a garnish of pistachios for crunch.
greenchef,Thai-Spiced Chicken Tacos,Calories 660kcal Fat 32g Saturated Fat 6g Carbohydrate 52g Sugar 12g Dietary Fiber 3g Protein 36g Cholesterol 90mg Sodium 1410mg,10 Min.,Dairy Free; Low Added Sugar,"Allergens: Peanuts, Wheat",Thai-Style Seasoning; Chicken Stock Concentrate; Fully Cooked Chicken Breast; Mangos; Cabbage; Cilantro; Roasted Peanuts; Flour Tortillas; Vegan Sriracha-Ginger Mayo,"It’s taco night, with a Thai twist! For this fusion spin on tacos, you’ll toss sliced, fully cooked chicken breast with a Thai-style seasoning blend and pile it into warm flour tortillas with a cool slaw of crisp cabbage, sweet mango, bright cilantro, and crunchy peanuts. Drizzle your tacos with vegan Sriracha-ginger mayo for a spicy, zesty finish."
